episode,timestep,raw_reward
0,232,-1023.1921126914444
1,292,-1019.8245231041205
2,411,-1022.6284989597001
3,545,-1019.942311191784
4,760,-1023.9100103517354
5,873,-1021.4560853428567
6,1029,-1023.7798841310484
7,1177,-1023.3960847934624
8,1290,-1023.0216732565132
9,1453,-1028.3330556408573
10,1550,-1019.8128827408258
11,1751,-1023.3130788857499
12,1831,-1023.2091704203991
13,2006,-1023.8316522541609
14,2111,-1027.6993233951987
15,2506,-1118.971023459907
16,2673,-1030.3465484059534
17,2858,-1022.7133926376299
18,2962,-1023.3944080455353
19,3032,-1021.8301394778911
20,3124,-1019.2280766124123
21,3210,-1022.7917335627711
22,3339,-1021.3503749080904
23,3417,-1021.3013447246263
24,3499,-1022.7477249322509
25,3686,-1027.7882765999502
26,3815,-1024.500067765698
27,3919,-1023.7744392603144
28,4009,-1020.9861506678877
29,4174,-1021.7174152999703
30,4421,-1020.7663439014594
31,4523,-1024.6140459922751
32,4645,-1021.4350460998934
33,4875,-1023.9985288566629
34,5025,-1018.8551813987999
35,5211,-1024.1624015077616
36,5330,-1027.2497842522782
37,5459,-1023.1508234821829
38,5528,-1019.8876774264396
39,5666,-1027.0224458758134
40,5740,-1024.1345083118774
41,5881,-1022.4874556797643
42,5970,-1023.6880828518277
43,6088,-1021.1300327149497
44,6248,-1024.6665097244868
45,6399,-1022.2535033517242
46,6563,-1023.3526580895291
47,6666,-1024.300248218202
48,6845,-1021.9572892094161
49,6908,-1021.3489403709054
50,7049,-1025.7241453000045
51,7124,-1023.7884806574331
52,7338,-1020.5939350817064
53,7431,-1023.3461086162096
54,7593,-1022.2563819986533
55,7670,-1023.601951636515
56,7777,-1021.298301580873
57,7865,-1024.5828938761756
58,7942,-1025.626502830969
59,8028,-1024.173549595105
60,8387,-1056.298524854289
61,8542,-1024.374240950103
62,8642,-1023.6329777569047
63,8827,-1024.8183836595645
64,8955,-1022.9786445966902
65,9105,-1022.2699623959
66,9218,-1023.2034834338338
67,9316,-1026.3178855889366
68,9392,-1023.6255322374683
69,9582,-1022.4682424819351
70,9796,-1022.7467084375528
71,9888,-1021.2728374243794
72,10030,-1025.2681982694376
73,10178,-1023.3644994981834
74,10280,-1023.3288231326073
75,10432,-1024.0875938584086
76,10607,-1027.0784216437064
77,10668,-1020.7410037516096
78,10801,-1023.3622830084398
79,10926,-1022.5674495546267
80,11034,-1019.8449854975772
81,11125,-1026.5595127277606
82,11236,-1020.5404020446184
83,11359,-1020.3596200840947
84,11728,-1026.8333779968075
85,11860,-1023.0441508541389
86,11992,-1020.426393193249
87,12141,-1019.4981239977045
88,12210,-1021.6275723366413
89,12299,-1024.2398862340283
90,12467,-1021.5209395820788
91,12559,-1027.8152509971783
92,12645,-1022.2248152227172
93,12843,-1023.7466914068307
