episode,timestep,raw_reward
0,122,-1018.5910501810187
1,190,-1023.0090773136187
2,348,-1019.4862083253685
3,535,-1019.7004336461636
4,651,-1019.4355474473432
5,760,-1019.7788716505278
6,844,-1020.8644396982675
7,994,-1023.2001010127021
8,1099,-1021.6057105446595
9,1214,-1023.4090647292109
10,1468,-1022.044025056523
11,1584,-1020.0236232491076
12,1675,-1023.3440058881347
13,1814,-1021.9093177462844
14,1903,-1021.6397159461937
15,2049,-1028.5190680767853
16,2153,-1023.1892048290501
17,2286,-1023.9715335408017
18,2368,-1023.0240224615831
19,2455,-1023.3998992244273
20,2619,-1022.229005570214
21,2709,-1026.4525721678538
22,2872,-1022.9110117039957
23,2967,-1025.4564831119544
24,3102,-1023.6711635204009
25,3239,-1022.8625529506559
26,3425,-1023.8018929972786
27,3515,-1024.6204898217638
28,3608,-1022.8897489628446
29,3807,-1024.2912901737843
30,3997,-1022.607599059944
31,4140,-1026.1897232393142
32,4377,-1023.9417967511828
33,4510,-1019.5780761164145
34,4607,-1018.7471751452767
35,4883,-1027.4848425127457
36,5026,-1027.2300716229352
37,5228,-1025.308184105388
38,5315,-1022.7858292940518
39,5543,-1022.5367093620883
40,5630,-1024.9397359995892
41,5948,-1021.6644625259875
42,6045,-1024.7991036247513
43,6188,-1020.9592676603098
44,6409,-1020.0828401343706
45,6554,-1019.0992604235587
46,6666,-1020.2585510270181
47,6757,-1022.2712957735617
48,6950,-1020.4330101853827
49,7040,-1026.075330011744
50,7256,-1023.49743261842
51,7324,-1020.8753029037825
52,7452,-1022.7903091268797
53,7557,-1022.7383429709207
54,7681,-1019.863547852752
55,7747,-1021.8032267884139
56,7841,-1022.0808984745697
57,7915,-1022.6421837716235
58,7997,-1024.0632728739695
59,8116,-1028.8116038078006
60,8206,-1024.1168723786009
61,8340,-1021.3897104610427
62,8463,-1024.5346323143551
63,8559,-1023.5291081312288
64,8728,-1020.9485642791698
65,8847,-1018.4563655422701
66,9007,-1021.9698877521128
67,9085,-1024.2870030871543
68,9178,-1027.4913175739357
69,9322,-1020.385207137323
70,9503,-1022.3192254756138
71,9635,-1023.6831688406901
72,9735,-1022.4917092751507
73,9845,-1021.671188792437
74,9924,-1021.5583329935041
75,10214,-1025.683372567126
76,10396,-1022.0825795424902
77,10518,-1027.8203985453893
78,10643,-1026.286539576998
79,10754,-1023.1145549159792
80,10872,-1022.214247642677
81,10941,-1023.5802180745042
82,11047,-1023.1087486247276
83,11181,-1021.4542881298231
84,11331,-1022.9918781004462
85,11574,-1027.0032507595713
86,11692,-1020.1467448329377
87,11872,-1024.5075657133998
88,11957,-1027.345812879889
89,12025,-1020.9861024735177
90,12144,-1021.5976175975837
91,12213,-1024.2259050385187
92,12297,-1019.1621128434737
93,12420,-1021.7337600180581
94,12521,-1020.5964211843574
95,12626,-1020.8898689762646
96,12747,-1021.2480648905025
97,12875,-1022.5660581298449
98,12992,-1029.9256022498178
99,13063,-1020.5911824684592
100,13180,-1024.9278842240462
101,13258,-1021.7041628933856
102,13346,-1023.527451478835
103,13437,-1022.3538153607853
104,13512,-1021.1338816865195
105,13675,-1024.2890097998163
106,13782,-1021.6355358596769
107,13861,-1021.6560926966389
108,13982,-1022.1835241276256
109,14079,-1020.3301376120286
110,14201,-1026.6552855353234
111,14276,-1022.3546596429366
112,14444,-1020.2121730991611
113,14600,-1022.6493770814129
114,14780,-1028.8412427200196
115,14854,-1021.6229126815932
116,14955,-1020.4749074129664
117,15038,-1023.8472528443311
118,15156,-1020.2655053333907
119,15303,-1019.899720879783
120,15445,-1023.0087838775229
121,15553,-1023.404267619711
122,15654,-1024.1665033950317
123,15749,-1024.7686125615414
124,15845,-1024.2830987255793
125,15959,-1023.257873159834
126,16042,-1023.8247870956972
127,16190,-1022.4108134304342
128,16383,-1027.2785265041305
